x,y,p,u,v
7.55,0.15,1356.68,0.286814,-7.60206e-05
7.65,0.15,1316.2,0.286895,-5.84726e-05
7.75,0.15,1275.73,0.286957,-4.24283e-05
7.85,0.15,1235.27,0.287002,-2.79482e-05
7.95,0.15,1194.84,0.28703,-1.50394e-05
8.05,0.15,1154.42,0.287045,-3.66802e-06
8.15,0.15,1114.03,0.287047,6.22931e-06
8.25,0.15,1073.66,0.287038,1.47376e-05
8.35,0.15,1033.33,0.28702,2.19569e-05
8.45,0.15,993.02,0.286994,2.79968e-05
8.55,0.15,952.741,0.286961,3.29735e-05
8.65,0.15,912.492,0.286923,3.70069e-05
8.75,0.15,872.271,0.286881,4.02194e-05
8.85,0.15,832.079,0.286835,4.27351e-05
8.95,0.15,791.914,0.286786,4.46809e-05
9.05,0.15,751.775,0.286735,4.61873e-05
9.15,0.15,711.662,0.286682,4.73916e-05
9.25,0.15,671.573,0.286628,4.84411e-05
9.35,0.15,631.507,0.286573,4.94984e-05
9.45,0.15,591.465,0.286515,5.07488e-05
9.55,0.15,551.444,0.286456,5.24095e-05
9.65,0.15,511.444,0.286395,5.47425e-05
9.75,0.15,471.466,0.28633,5.80714e-05
9.85,0.15,431.51,0.28626,6.28041e-05
9.95,0.15,391.575,0.286183,6.94624e-05
10.05,0.15,351.665,0.286097,7.87225e-05
10.15,0.15,311.782,0.285999,9.14663e-05
10.25,0.15,271.931,0.285882,0.000108849
10.35,0.15,232.117,0.285743,0.000132385
10.45,0.15,192.351,0.285571,0.000164049
10.55,0.15,152.648,0.285357,0.000206391
10.65,0.15,113.028,0.285088,0.000262642
10.75,0.15,73.5234,0.284745,0.000336766
10.85,0.15,34.1774,0.284307,0.000433363
10.95,0.15,-4.94579,0.283748,0.00055722
11.05,0.15,-43.7561,0.283037,0.000712147
11.15,0.15,-82.13,0.282142,0.000898412
11.25,0.15,-119.905,0.281035,0.00110766
11.35,0.15,-156.884,0.279705,0.00131357
11.45,0.15,-192.86,0.278173,0.00145643
11.55,0.15,-227.692,0.27652,0.00142249
11.65,0.15,-261.443,0.274902,0.00103368
11.75,0.15,-294.514,0.273513,0.000121361
11.85,0.15,-327.241,0.272474,-0.00103883
11.95,0.15,-455.485,0.272046,-1.73499e-07
0.05,0.25,11407.9,1.02967,0.208871
0.15,0.25,11070.8,1.06196,0.311001
0.25,0.25,10586.3,1.03952,0.289049
0.35,0.25,10158.8,0.977146,0.234354
0.45,0.25,9827.96,0.90127,0.181129
0.55,0.25,9580.13,0.827934,0.138088
0.65,0.25,9393,0.763803,0.105194
0.75,0.25,9247.99,0.710477,0.0802602
0.85,0.25,9131.77,0.667455,0.0610721
0.95,0.25,9035.15,0.633615,0.0458718
1.05,0.25,8951.75,0.607845,0.0333506
1.15,0.25,8876.98,0.58927,0.0225343
1.25,0.25,8807.35,0.577314,0.0126759
1.35,0.25,8739.97,0.571699,0.00317944
1.45,0.25,8672.23,0.572418,-0.00644361
1.55,0.25,8601.49,0.57971,-0.0165888
1.65,0.25,8524.94,0.594008,-0.0275454
1.75,0.25,8439.37,0.615872,-0.0394546
1.85,0.25,8341.09,0.64588,-0.0522399
1.95,0.25,8225.89,0.684472,-0.0655169
2.05,0.25,8089.12,0.731733,-0.0785023
2.15,0.25,7926.02,0.787119,-0.0899624
2.25,0.25,7732.3,0.849173,-0.0982689
2.35,0.25,7504.94,0.915315,-0.101641
2.45,0.25,7243.26,0.981853,-0.0986132
2.55,0.25,6949.63,1.04437,-0.0886472
2.65,0.25,6629.75,1.09849,-0.0725539
2.75,0.25,6291.8,1.14084,-0.0523162
2.85,0.25,5944.96,1.1695,-0.0302662
2.95,0.25,5598.06,1.18395,-0.00831171
3.05,0.25,5258.79,1.18458,0.0123758
3.15,0.25,4933.42,1.17226,0.0312288
3.25,0.25,4626.88,1.14806,0.0479273
3.35,0.25,4342.81,1.11328,0.062076
3.45,0.25,4083.56,1.06962,0.0731333
3.55,0.25,3850.13,1.0192,0.0806267
3.65,0.25,3642.31,0.964495,0.0843929
3.75,0.25,3458.92,0.907981,0.08466
3.85,0.25,3298.09,0.851904,0.0819731
3.95,0.25,3157.59,0.798084,0.0770485
4.05,0.25,3035.05,0.747844,0.0706299
4.15,0.25,2928.08,0.70203,0.063388
4.25,0.25,2834.43,0.661068,0.0558679
4.35,0.25,2752,0.625062,0.0484746
4.45,0.25,2678.92,0.593878,0.0414838
4.55,0.25,2613.51,0.567222,0.0350633
4.65,0.25,2554.35,0.544708,0.0292981
4.75,0.25,2500.19,0.525905,0.0242141
4.85,0.25,2449.99,0.51037,0.0197968
4.95,0.25,2402.9,0.497674,0.0160069
5.05,0.25,2358.18,0.487414,0.0127911
5.15,0.25,2315.27,0.479221,0.0100898
5.25,0.25,2273.68,0.472766,0.00784199
5.35,0.25,2233.05,0.467757,0.00598889
5.45,0.25,2193.07,0.463941,0.00447552
5.55,0.25,2153.53,0.461099,0.00325179
5.65,0.25,2114.24,0.459046,0.00227291
5.75,0.25,2075.08,0.457624,0.00149934
5.85,0.25,2035.95,0.456699,0.000896586
5.95,0.25,1996.77,0.456163,0.000434842
6.05,0.25,1957.52,0.455923,8.85517e-05
6.15,0.25,1918.15,0.455906,-0.000164027
6.25,0.25,1878.66,0.45605,-0.000341267
6.35,0.25,1839.03,0.456306,-0.000458592
6.45,0.25,1799.27,0.456637,-0.000528859
6.55,0.25,1759.39,0.45701,-0.000562717
6.65,0.25,1719.4,0.457404,-0.000568923
6.75,0.25,1679.31,0.457799,-0.00055462
6.85,0.25,1639.13,0.458182,-0.000525591
6.95,0.25,1598.87,0.458544,-0.00048647
7.05,0.25,1558.56,0.458879,-0.000440933
7.15,0.25,1518.19,0.459182,-0.000391858
7.25,0.25,1477.8,0.459451,-0.000341466
7.35,0.25,1437.37,0.459686,-0.000291436
7.45,0.25,1396.93,0.459886,-0.000243008
7.55,0.25,1356.48,0.460053,-0.000197066
7.65,0.25,1316.04,0.460188,-0.000154207
7.75,0.25,1275.6,0.460294,-0.000114805
7.85,0.25,1235.17,0.460373,-7.90528e-05
7.95,0.25,1194.76,0.460428,-4.70089e-05
8.05,0.25,1154.36,0.46046,-1.86256e-05
8.15,0.25,1113.99,0.460473,6.22297e-06
8.25,0.25,1073.65,0.460469,2.77196e-05
8.35,0.25,1033.33,0.46045,4.6088e-05
8.45,0.25,993.036,0.460418,6.15797e-05
8.55,0.25,952.771,0.460376,7.44649e-05
8.65,0.25,912.532,0.460324,8.50263e-05
8.75,0.25,872.321,0.460265,9.35548e-05
8.85,0.25,832.136,0.4602,0.000100348
8.95,0.25,791.978,0.46013,0.000105713
9.05,0.25,751.845,0.460057,0.000109965
9.15,0.25,711.736,0.459979,0.00011344
9.25,0.25,671.652,0.4599,0.000116498
9.35,0.25,631.591,0.459817,0.000119537
9.45,0.25,591.552,0.459732,0.000123011
9.55,0.25,551.537,0.459644,0.000127453
9.65,0.25,511.543,0.459552,0.000133502
9.75,0.25,471.573,0.459454,0.000141946
9.85,0.25,431.626,0.459349,0.000153772
9.95,0.25,391.705,0.459234,0.000170237
10.05,0.25,351.813,0.459105,0.000192955
10.15,0.25,311.954,0.458957,0.000224013
10.25,0.25,272.133,0.458783,0.000266117
10.35,0.25,232.361,0.458575,0.000322772
10.45,0.25,192.648,0.458322,0.000398485
10.55,0.25,153.012,0.458009,0.000498991
10.65,0.25,113.477,0.457617,0.000631427
10.75,0.25,74.0765,0.457123,0.000804388
10.85,0.25,34.8548,0.456499,0.00102763
10.95,0.25,-4.12585,0.45571,0.00131109
11.05,0.25,-42.7822,0.454717,0.00166252
11.15,0.25,-81.004,0.453477,0.00208275
11.25,0.25,-118.649,0.45195,0.00255699
11.35,0.25,-155.54,0.450104,0.00304042
11.45,0.25,-191.458,0.447928,0.00343744
11.55,0.25,-226.135,0.445443,0.00357995
11.65,0.25,-259.19,0.442709,0.00322923
11.75,0.25,-289.897,0.439847,0.00217615
11.85,0.25,-316.478,0.43718,0.000612226
11.95,0.25,-457.42,0.435957,-1.20576e-07
0.05,0.35,10606.4,1.02402,0.155188
0.15,0.35,10531.2,1.06812,0.288279
0.25,0.35,10296.9,1.08933,0.313008
0.35,0.35,10029.2,1.07589,0.286208
0.45,0.35,9784.75,1.03843,0.24261
0.55,0.35,9579.04,0.990049,0.198323
0.65,0.35,9410.42,0.939999,0.15914
0.75,0.35,9272.05,0.893454,0.126184
0.85,0.35,9156.71,0.852826,0.0987985
0.95,0.35,9058.3,0.818992,0.07582
1.05,0.35,8971.93,0.792107,0.0560569
1.15,0.35,8893.74,0.772075,0.0384345
1.25,0.35,8820.57,0.758794,0.0220131
1.35,0.35,8749.69,0.752281,0.00597092
1.45,0.35,8678.54,0.752737,-0.0104101
1.55,0.35,8604.55,0.76056,-0.0277375
1.65,0.35,8524.93,0.776337,-0.0464718
1.75,0.35,8436.48,0.800795,-0.0668499
1.85,0.35,8335.5,0.834709,-0.0887671
1.95,0.35,8217.67,0.878747,-0.11162
2.05,0.35,8078.12,0.933224,-0.134137
2.15,0.35,7911.7,0.997767,-0.154256
2.25,0.35,7713.61,1.0709,-0.169164
2.35,0.35,7480.43,1.14967,-0.175656
2.45,0.35,7211.44,1.2295,-0.170965
2.55,0.35,6909.85,1.30465,-0.15396
2.65,0.35,6582.97,1.36943,-0.126144
2.75,0.35,6240.78,1.41969,-0.0913374
2.85,0.35,5893.36,1.45359,-0.0538003
2.95,0.35,5549.28,1.47108,-0.0167191
3.05,0.35,5215.28,1.47302,0.0182093
3.15,0.35,4896.69,1.46038,0.0503545
3.25,0.35,4597.83,1.43401,0.0793721
3.35,0.35,4322.13,1.39489,0.104531
3.45,0.35,4071.84,1.34463,0.124604
3.55,0.35,3847.6,1.28572,0.138487
3.65,0.35,3648.53,1.22121,0.145747
3.75,0.35,3472.74,1.15427,0.146757
3.85,0.35,3317.89,1.08773,0.142498
3.95,0.35,3181.53,1.02382,0.134253
4.05,0.35,3061.34,0.964139,0.123342
4.15,0.35,2955.17,0.909689,0.110941
4.25,0.35,2861.08,0.860961,0.0980039
4.35,0.35,2777.32,0.818069,0.0852364
4.45,0.35,2702.31,0.780853,0.0731224
4.55,0.35,2634.64,0.748975,0.0619596
4.65,0.35,2573.08,0.721986,0.0519039
4.75,0.35,2516.53,0.69939,0.043008
4.85,0.35,2464.04,0.680672,0.0352547
4.95,0.35,2414.82,0.665335,0.0285823
5.05,0.35,2368.18,0.652907,0.0229038
5.15,0.35,2323.55,0.642957,0.0181198
5.25,0.35,2280.46,0.635097,0.0141273
5.35,0.35,2238.53,0.628983,0.0108264
5.45,0.35,2197.44,0.624315,0.00812267
5.55,0.35,2156.96,0.620831,0.00592978
5.65,0.35,2116.88,0.618309,0.00417005
5.75,0.35,2077.07,0.616559,0.00277465
5.85,0.35,2037.39,0.615422,0.00168327
5.95,0.35,1997.79,0.614763,0.000843622
6.05,0.35,1958.18,0.614471,0.000210713
6.15,0.35,1918.54,0.614456,-0.00025385
6.25,0.35,1878.83,0.614644,-0.00058261
6.35,0.35,1839.04,0.614973,-0.000802965
6.45,0.35,1799.16,0.615396,-0.000937827
6.55,0.35,1759.19,0.615875,-0.00100623
6.65,0.35,1719.14,0.61638,-0.00102387
6.75,0.35,1679.01,0.616889,-0.00100359
6.85,0.35,1638.81,0.617384,-0.000955849
6.95,0.35,1598.55,0.617855,-0.000889031
7.05,0.35,1558.24,0.618291,-0.000809829
7.15,0.35,1517.89,0.618689,-0.000723508
7.25,0.35,1477.51,0.619044,-0.000634153
7.35,0.35,1437.11,0.619356,-0.000544874
7.45,0.35,1396.7,0.619624,-0.000457988
7.55,0.35,1356.27,0.61985,-0.000375167
7.65,0.35,1315.85,0.620036,-0.000297561
7.75,0.35,1275.44,0.620185,-0.000225908
7.85,0.35,1235.04,0.620298,-0.00016062
7.95,0.35,1194.65,0.62038,-0.000101852
8.05,0.35,1154.28,0.620434,-4.95667e-05
8.15,0.35,1113.93,0.620462,-3.57638e-06
8.25,0.35,1073.6,0.620467,3.6414e-05
8.35,0.35,1033.3,0.620453,7.07785e-05
8.45,0.35,993.021,0.620421,9.9947e-05
8.55,0.35,952.769,0.620375,0.000124387
8.65,0.35,912.543,0.620317,0.000144592
8.75,0.35,872.342,0.620249,0.000161075
8.85,0.35,832.166,0.620173,0.000174363
8.95,0.35,792.015,0.620089,0.000184999
9.05,0.35,751.889,0.62,0.000193551
9.15,0.35,711.786,0.619907,0.000200615
9.25,0.35,671.707,0.619809,0.000206836
9.35,0.35,631.65,0.619708,0.000212929
9.45,0.35,591.616,0.619603,0.000219704
